ID,IATA,ICAO,name
245,COO,DBBB,Cadjehoun Airport
246,OUA,DFFD,Ouagadougou Airport
247,BOY,DFOO,Bobo Dioulasso Airport
248,ACC,DGAA,Kotoka International Airport
249,TML,DGLE,Tamale Airport
250,,DGLW,Wa Airport
251,NYI,DGSN,Sunyani Airport
252,TKD,DGTK,Takoradi Airport
253,ABJ,DIAP,Port Bouet Airport
254,BYK,DIBK,Bouaké Airport
255,DJO,DIDL,Daloa Airport
256,HGO,DIKO,Korhogo Airport
257,MJC,DIMN,Man Airport
258,SPY,DISP,San Pedro Airport
259,ASK,DIYO,Yamoussoukro Airport
260,ABV,DNAA,Nnamdi Azikiwe International Airport
261,AKR,DNAK,Akure Airport
262,BNI,DNBE,Benin Airport
263,CBQ,DNCA,Margaret Ekpo International Airport
264,ENU,DNEN,Akanu Ibiam International Airport
265,,DNGU,Gusau Airport
266,IBA,DNIB,Ibadan Airport
267,ILR,DNIL,Ilorin International Airport
268,JOS,DNJO,Yakubu Gowon Airport
269,KAD,DNKA,Kaduna Airport
270,KAN,DNKN,Mallam Aminu International Airport
271,MIU,DNMA,Maiduguri International Airport
272,MDI,DNMK,Makurdi Airport
273,LOS,DNMM,Murtala Muhammed International Airport
274,MXJ,DNMN,Minna Airport
275,PHC,DNPO,Port Harcourt International Airport
276,SKO,DNSO,Sadiq Abubakar III International Airport
277,YOL,DNYO,Yola Airport
278,ZAR,DNZA,Zaria Airport
279,MFQ,DRRM,Maradi Airport
280,NIM,DRRN,Diori Hamani International Airport
281,THZ,DRRT,Tahoua Airport
282,AJY,DRZA,Mano Dayak International Airport
283,,DRZD,Dirkou Airport
284,,DRZF,Diffa Airport
285,ZND,DRZR,Zinder Airport
286,MIR,DTMB,Monastir Habib Bourguiba International Airport
287,TUN,DTTA,Tunis Carthage International Airport
288,,DTTB,Sidi Ahmed Air Base
289,,DTTD,Remada Air Base
290,GAF,DTTF,Gafsa Ksar International Airport
291,GAE,DTTG,Gabès Matmata International Airport
292,,DTTI,Borj El Amri Airport
293,DJE,DTTJ,Djerba Zarzis International Airport
294,EBM,DTTR,El Borma Airport
295,SFA,DTTX,Sfax Thyna International Airport
296,TOE,DTTZ,Tozeur Nefta International Airport
297,LRL,DXNG,Niamtougou International Airport
298,LFW,DXXX,Lomé-Tokoin Airport
299,ANR,EBAW,Antwerp International Airport (Deurne)
300,,EBBE,Beauvechain Air Base
301,,EBBL,Kleine Brogel Air Base
302,BRU,EBBR,Brussels Airport
303,,EBBX,Jehonville Air Base
304,CRL,EBCI,Brussels South Charleroi Airport
305,,EBCV,Chièvres Air Base
306,,EBFN,Koksijde Air Base
307,,EBFS,Florennes Air Base
308,KJK,EBKT,Wevelgem Airport
309,LGG,EBLG,Liège Airport
310,OST,EBOS,Ostend-Bruges International Airport
311,,EBSL,Zutendaal Air Base
312,,EBST,Brustem Airfield Sint Truiden
313,,EBSU,Saint Hubert Air Base
314,,EBUL,Ursel Air Base
315,,EBWE,Weelde Air Base
316,OBL,EBZR,Zoersel (Oostmalle) Airfield
317,,EDAB,Flugplatz Bautzen
318,AOC,EDAC,Altenburg-Nobitz Airport
319,,EDAD,Dessau Airfield
320,,EDAE,Eisenhüttenstadt Airfield
322,,EDAK,Großenhain Airport
323,,EDAM,Merseburg Airport
324,,EDAQ,Halle-Oppin Airport
325,IES,EDAU,Riesa-Göhlis Airport
326,REB,EDAX,Rechlin-Lärz Airport
327,,EDAY,Strausberg Airport
328,QXH,EDAZ,Schönhagen Airport
329,BBH,EDBH,Barth Airport
330,,EDBJ,Jena-Schöngleina Airfield
331,,EDBK,Kyritz Airport
332,ZMG,EDBM,"Magdeburg ""City"" Airport"
333,,EDBR,Rothenburg/Görlitz Airport
334,,EDCA,Anklam Airfield
335,CBU,EDCD,Cottbus-Drewitz Airport
336,,EDCM,Kamenz Airport
337,SXF,EDDB,Berlin-Schönefeld Airport
338,DRS,EDDC,Dresden Airport
339,ERF,EDDE,Erfurt Airport
340,FRA,EDDF,Frankfurt am Main Airport
341,FMO,EDDG,Münster Osnabrück Airport
342,HAM,EDDH,Hamburg Airport
343,THF,EDDI,Berlin-Tempelhof International Airport
344,CGN,EDDK,Cologne Bonn Airport
345,DUS,EDDL,Düsseldorf Airport
346,MUC,EDDM,Munich Airport
347,NUE,EDDN,Nuremberg Airport
348,LEJ,EDDP,Leipzig/Halle Airport
349,SCN,EDDR,Saarbrücken Airport
350,STR,EDDS,Stuttgart Airport
351,TXL,EDDT,Berlin-Tegel Airport
352,HAJ,EDDV,Hannover Airport
353,BRE,EDDW,Bremen Airport
354,QEF,EDFE,Frankfurt-Egelsbach Airport
355,HHN,EDFH,Frankfurt-Hahn Airport
356,MHG,EDFM,Mannheim-City Airport
357,,EDFQ,Allendorf/Eder Airport
358,,EDFV,Worms Airport
359,,EDFZ,Mainz-Finthen Airport
360,EIB,EDGE,Eisenach-Kindel Airport
361,SGE,EDGS,Siegerland Airport
362,XFW,EDHI,Hamburg-Finkenwerder Airport
363,KEL,EDHK,Kiel-Holtenau Airport
364,LBC,EDHL,Lübeck Blankensee Airport
365,,EDKV,Flugplatz Dahlemer Binz
366,,EDKZ,Meinerzhagen Airport
367,,EDLA,Arnsberg-Menden Airport
368,ESS,EDLE,Essen Mulheim Airport
369,BFE,EDLI,Bielefeld Airport
370,MGL,EDLN,Mönchengladbach Airport
371,PAD,EDLP,Paderborn Lippstadt Airport
372,,EDLS,Stadtlohn-Vreden Airport
373,DTM,EDLW,Dortmund Airport
374,AGB,EDMA,Augsburg Airport
375,,EDMB,Biberach a.d. Riß Airfield
376,,EDME,Eggenfelden Airport
377,,EDMN,Mindelheim-Mattsies Airfield
378,OBF,EDMO,Oberpfaffenhofen Airport
379,RBM,EDMS,Straubing Airport
380,,EDMV,Vilshofen Airport
381,,EDNL,Leutkirch-Unterzeil Airport
382,FDH,EDNY,Friedrichshafen Airport
383,SZW,EDOP,Schwerin Parchim Airport
384,,EDOV,Stendal-Borstel Airport
385,,EDPA,Aalen-Heidenheim/Elchingen Airport
386,BYU,EDQD,Bayreuth Airport
387,URD,EDQE,Burg Feuerstein Airport
388,HOQ,EDQM,Hof-Plauen Airport
